Gene	RNA.Macrophages	RNA.DC1	RNA.DC2	RNA.Inflammatory.Monocytes	RNA.CD69..Mast	RNA.CD69..Mast.1	RNA.Cycling.Monocytes	RNA.NKs	RNA.ILCs	RNA.CD4..Activated.Fos.hi	RNA.CD4..Activated.Fos.lo	RNA.CD4..Memory	RNA.Tregs	RNA.CD4..PD1.	RNA.CD8..IELs	RNA.CD8..LP	RNA.CD8..IL17.	RNA.MT.hi	RNA.Cycling.T	RNA.Plasma	RNA.Follicular	RNA.GC	RNA.Cycling.B
MT-TG	0.001563677	0	0.001953509	0.062671774	0	0	0	0	0	0	0	0.003009737	0.023846509	0	0	0	0	0.076860094	0	0.000246557	0.007876429	0	0.020547584
MT-TH	0.036584021	0	0.006079228	0	0.028148054	0	0.00499233	0	0	0.029695385	0.01784558	0	0.09418932	0.00958482	0.002372704	0	0	0	0.02216678	0.005207139	0.025627522	0.009184034	0.054387395
MT-TI	0.106663731	0	0.019521311	0.131167328	0.036876619	0.107748916	0.024312591	0.068479346	0	0.054981195	0.015213849	0.009132884	0.03563616	0.113017867	0.071732258	0.032455448	0	0.211216829	0	0.019922959	0.051469916	0.008747817	0.045106499
MT-TK	0.005145569	0	0.001759359	0	0.092221939	0	0.005506896	0.034191151	0	0.015874801	0.003056995	0.012780779	0	0	0.03058187	0.003049787	0.024224229	0	0.028699993	0.002315313	0.015383812	0	0.002628117
MT-TL1	0.015227291	0.020747211	0.014780182	0.05868588	0.025936106	0	0.080835215	0.08202502	0.036525294	0.012894607	0.022398258	0	0.040263597	0	0.0880893	0.00646052	0.107429958	0.163252562	0.074487015	0.020013838	0.033721168	0.02554162	0.038293015
MT-TM	0.000503964	0	0	0	0	0	0.036200557	0	0.155588686	0	0.009112667	0	0.005624978	0	0.020921913	0	0	0.091217098	0.006611943	0.002708276	0.015438975	0.015374172	0.033080904
MT-TN	0	0.072147225	0	0	0	0	0	0	0	0.022964416	0	0	0	0	0.024898102	0.004062375	0.027470181	0	0	0.000766867	0.004461326	0	0
MT-TP	0.019533354	0	0.029462148	0	0	0	0	0	0.023350416	0.004836936	0.003574699	0	0.030495952	0	0.058178956	0.022676659	0.147067005	0	0.077080043	0.004411342	0.068771115	0.174392232	0.032449911
MT-TS1	0.021867511	0	0.002312897	0	0.016360672	0	0	0	0	0.002379959	0.019661539	0.020738121	0	0	0.035596603	0.008801366	0	0.092104244	0.008546951	0.011867792	0.026968611	0	0.006522855
MT-TT	0.057564914	0.02423472	0.034315539	0.032859302	0	0	0.08389751	0.034555149	0.083600856	0.054827836	0.095003585	0.056116799	0.048276056	0.068172647	0.088549998	0.035861951	0.043000334	0.299087399	0.047116451	0.021297136	0.053451088	0	0.13271233
MT-TV	0.087593921	0	0.057463062	0.013912179	0.062376909	0	0.002717985	0.018703072	0	0.003103288	0.005223348	0.049961954	0.014142963	0.094353293	0.061163251	0.017543347	0.044940067	0.300712343	0.033761707	0.019240998	0.120854782	0.079147739	0.111459786
MT-TY	0.001771694	0	0	0.017830347	0	0.170691313	0.004846964	0.028874624	0	0.015074033	0.025748374	0	0.007302343	0	0	0	0	0	0	0.001879665	0.002088901	0	0.005415599
MT1A	0.017960196	0	0.005978129	0	0.027166337	0	0	0	0	0.010468989	0.022467301	0.018188179	0.105956875	0.021355574	0.003833097	0.027568788	0	0	0	0.014191342	0	0	0.002589331
MT1E	1.127978983	0	0.139091147	0.147864764	0.099680494	1.674539221	0.318040161	0.193120336	0.046416418	0.133173604	0.091751916	0.346294302	0.71150689	0.546431396	0.460579497	0.486422023	0.716578695	0.665300798	0.803358202	0.158388137	0.122237915	0.215986471	0.511313006
MT1F	1.552674531	0	0.078353081	0.398955658	1.376156884	1.152308927	0.455312182	0.956177403	0	0.723958369	1.027780539	1.102507574	1.005663815	0.522318568	1.504440781	1.704717456	1.817602549	0.746547792	0.991866673	0.295703696	0.270107974	0.143782053	0.306842205
MT1G	7.777030938	0.016873996	0.363612872	0.814681523	0.230129928	1.039164031	1.972255214	0.422684718	0.129641489	0.039902461	0.041233407	0.111363448	0.043228509	0.023625802	0.723658734	0.10378548	0.365999903	1.094874312	0.260977718	0.064203629	0.116321451	0.099355262	0.095154791
MT1H	2.338093258	0	0.013004264	0.045885544	0	0.043431387	0.51050844	0	0	0.002992132	0.006203388	0.04685978	0.004796968	0	0.026969225	0.014839178	0	0.190773973	0	0.008116276	0.006032347	0	0.004163141
MT1M	0.223309507	0.007221023	0.025753059	0.084382105	0.071587976	0.342748369	0.035374031	0.1105052	0	0.037722163	0.018490707	0.065936172	0.016297596	0	0.120054453	0.040544217	0.019826277	0.250846668	0.041475806	0.016172133	0.01760326	0.033832316	0.019312309
MT1X	9.379683955	0.152493692	0.434190937	1.743081853	1.379335415	2.301047393	3.514725797	1.073549994	0.289371117	1.698731976	1.166405377	1.990909346	2.260703217	1.114624233	1.758420229	2.149922227	1.930561987	2.406411403	1.936337633	0.366384871	0.175552087	0.201632661	0.789821887
MT2A	17.02785047	0.290275825	1.755365071	11.74324242	4.684031492	9.178112321	7.940831805	3.272575167	0.852759124	2.039049252	2.010605413	3.437182719	6.078807888	2.438067802	2.46920015	4.746399506	3.922390737	3.17736276	12.04401337	1.036811515	0.365731477	0.5101888	3.199147191
MTA1	0.168457945	0.324318483	0.29182435	0.433370614	0.229738543	0	0.19910003	0.473181303	0.483324596	0.325173921	0.296487337	0.343045478	0.415284447	0.202245784	0.342556778	0.336729541	0.248525494	0.524538955	0.342973452	0.118186978	0.345012422	0.564854928	0.255287009
MTA2	0.045815969	0.061753102	0.073111323	0.041877402	0.124153573	0.067325844	0.014666983	0.094733426	0.086663938	0.101475417	0.055843326	0.122291531	0.096070472	0.150327353	0.069721257	0.052111444	0.129939717	0.1762593	0.077446434	0.01520574	0.088923957	0.112609507	0.096386028
MTA3	0.100137844	0.093030708	0.154690852	0.069887898	0.234705994	0.614657188	0.043713074	0.290123284	0.459620332	0.226480481	0.213642893	0.196954264	0.241555296	0.226639723	0.154270846	0.269885629	0.174672248	0.165246594	0.022025803	0.170170511	0.196279867	0.688336749	0.379446435
MTAP	0.436154341	0.130584008	0.503293347	0.183553999	0.36896528	0.700204166	0.535205723	0.553988646	0.101977195	0.627545151	0.419180968	0.397261074	0.354374652	0.297286786	0.375657777	0.331291308	0.367881558	0.60421521	0.844569634	0.088481745	0.437617867	0.23543455	0.16408698
MTBP	0.006696919	0.013498279	0.00584908	0	0.110725984	0.083323367	0.056225976	0.032198616	0	0.066537837	0.020242528	0.04438743	0.037406072	0.016625282	0.021712525	0.029202683	0	0.042486001	0.165912744	0.011780436	0.022259464	0.059093681	0.08366659
MTCH1	3.08973592	1.502682893	2.617552182	2.221237735	1.723634911	1.912594035	2.876907051	2.443008457	0.783281531	2.311907747	1.583764626	1.674641048	2.271756538	2.369673005	2.122831678	1.965568733	2.559954039	1.988492525	2.309154897	0.388128271	1.499783785	2.259980931	1.230541927
MTCH2	2.521820386	1.694909551	1.742109437	1.864723711	2.121255586	1.61926711	2.912035605	1.684372629	1.79831268	1.218647297	1.000606014	1.117193587	1.865195001	2.222686796	1.818649469	1.272729906	2.11944003	0.941735394	2.834727927	0.290011443	1.159168456	2.445194424	2.664504785
MTCP1	0	0	0.005642641	0	0	0	0	0.041025279	0	0.003565346	0.007696692	0	0	0	0	0.008505161	0	0	0	0.00484246	0.003633029	0	0.002044143
MTDH	4.699751119	5.389613507	4.60048345	5.446406304	5.221223544	5.239764606	5.959908241	4.405260936	7.903940947	4.794306147	4.740002399	4.649542224	5.159183993	5.474350691	4.229881278	4.362597997	5.119058959	5.936863604	4.907688487	2.840958018	4.373587794	9.381598787	7.109685977
MTERF	0.138546101	0.070350961	0.080353832	0	0.254148212	0.438998355	0.028153059	0.178625459	1.011988388	0.239649254	0.209981709	0.424767114	0.3086774	0.500685801	0.581370788	0.362341182	0.417165423	0.593745003	0.379959437	0.039585617	0.325422629	0.390844712	0.18044797
MTERFD1	0.358797994	0.114636201	0.203565192	0.513395501	0.976856385	1.380503128	0.467502228	0.242655827	1.004654334	0.420759567	0.399994977	0.520431056	0.584597476	0.304628665	0.66296376	0.374572354	0.494437791	1.07578898	0.377632604	0.132513192	0.436052802	0.571231397	0.294281574
MTERFD2	0.468693911	0.397655353	0.338189247	0.302764988	0.807061648	0.320233646	0.619850237	0.827185037	0.833245004	1.184361151	1.242655425	1.79905124	2.020638205	1.306274461	1.322779947	1.27582321	1.078598608	1.867083339	0.965629181	0.462179434	1.359575309	3.026210963	1.106126965
MTERFD3	0.085283742	0.530664122	0.131785507	0	0.486824181	0.445040582	0.080373905	0.387945986	0.376684639	0.528323053	0.302476097	0.373942264	0.468365817	0.094078063	0.160368993	0.159747663	0.748183426	0.416253231	0.180561394	0.042623238	0.102161919	0.072657583	0.223215133
MTF1	0.199029652	0.056587563	0.089295738	0.534579594	0.069424464	0	0.147306598	0.534409037	0.176823097	0.231200503	0.1820639	0.33238724	0.208350051	0.232198102	0.166811884	0.301341268	0.325320185	0.703016009	0.144561849	0.046622965	0.280156543	0.370558608	0.147908577
MTF2	0.554835136	0.555542599	0.720246849	0.425561311	0.941149965	0.402670195	0.980633019	1.526029751	1.556722444	1.348639332	1.245024403	1.504126952	1.903055405	1.103033204	1.352308139	1.707169343	1.501474172	1.781244522	0.998021575	0.190134515	1.436095734	4.363741143	1.660060777
MTFMT	0.366766941	0.152737676	0.392039121	0.260260744	0.363178027	0.041209758	0.520182752	0.456965941	0.313351643	0.273767587	0.200805036	0.248454947	0.248966985	0.323774841	0.426503194	0.304686376	0.518139504	0.274378637	0.100561716	0.07673909	0.36851467	0.218208361	0.642066592
MTFP1	0.21091404	0.039335364	0.144898074	0.172115146	0.16196324	0.158963154	0.50461038	0.488565507	0.516804681	1.184470295	1.178056296	1.035152629	0.682268958	0.588747581	0.480487303	1.266101374	0.43961828	0.627624631	0.868269337	0.157020446	0.293141069	0.289486009	0.427957682
MTFR1	0.203783521	0.063114057	0.129340439	0.260440689	0.251457372	0.046742278	0.090472648	0.111323385	0	0.080789456	0.093726884	0.112259728	0.12904733	0.04527521	0.211238212	0.062845468	0.079606959	0.180229938	0.099109052	0.09591928	0.120339554	0.170571035	0.135678201
MTFR1L	0.369737189	0.493433265	0.388969897	0.221055878	1.570341465	1.753285524	0.465924688	0.458800988	0.721776262	0.357029119	0.406574229	0.259529962	0.457540984	0.377944891	0.504046605	0.399079809	0.673342802	0.756303483	0.216184793	0.141938451	0.371334674	0.400749837	0.369748055
MTFR2	0.039443365	0.099624956	0.043107397	0	0.029212878	0	0.282622394	0	0	0.027941886	0	0	0	0.013388144	0.038520784	0.014919349	0.027903381	0	0.332868239	0.007655048	0.025992693	0.024192242	0.305365559
MTG1	0.148111627	0.190930406	0.053376327	0.103794054	0.185006094	0.355588793	0.053587786	0.551027945	0.5349443	0.338127297	0.353197444	0.411989452	0.45331888	0.095933573	0.42818983	0.34976616	0.371487348	1.126618043	0.165036631	0.102289741	0.371248626	0.361337822	0.147436026
MTG2	0.20510597	0.093780213	0.084658819	0.543499881	0.157233282	0.234428696	0.088440493	0.510454619	0.215370238	0.27948542	0.258643636	0.319259237	0.212142888	0.465740432	0.241509709	0.228031604	0.189261644	0.257008177	0.193686219	0.109034533	0.293700833	0.301700504	0.262585252
MTHFD1	0.263168852	0.485082535	0.260752042	0.26586155	0.960694576	1.851591565	1.205939197	0.978785893	0.658983002	0.195198524	0.165256423	0.258196633	0.478483168	0.060539493	0.605952922	0.386855871	0.225424292	0.885494409	0.841003591	0.084601528	0.391103927	0.203580901	0.871807796
MTHFD1L	0.443303713	0.188019277	0.173566933	0.263852142	0.012231991	0	0.435943403	0.061067527	0.047832585	0.067623328	0.043499017	0.046403149	0.064112665	0.050255645	0.038772086	0.078061969	0.027534487	0	0.216391454	0.03906763	0.10416341	0.0494064	0.108560913
MTHFD2	1.513024416	0.645106393	2.173672348	2.383885287	1.521497303	2.611929357	2.248573779	1.089555351	0.987817844	1.70460658	1.476836065	1.373190298	2.920252107	1.783573527	1.199236121	1.851108497	1.315436191	1.144138354	2.734205631	1.432331842	0.829167299	2.724880806	3.234676526
MTHFD2L	0.263276063	0.128116769	0.412928579	0.318747465	0.349369977	0.107435577	0.151495365	0.218670274	0.657421762	0.162973004	0.195992118	0.236362824	0.149509957	0.162532205	0.239818214	0.338302011	0.152569152	0.363078768	0.266451134	0.068746998	0.305508163	0.395047877	0.587025216
MTHFR	0.513749464	0.122703631	0.223236221	0.148311728	0.180337411	0	0.102458021	0.313864115	0.143414368	0.113273207	0.073894758	0.091105649	0.087592897	0.12775745	0.115211124	0.145206531	0.122354882	0.274180152	0.17425491	0.03399476	0.28067768	0.275785461	0.083518577
MTHFS	0.530283404	1.145726426	0.785978014	1.908144053	2.192227556	2.386815029	0.896146736	1.542860564	3.199554899	1.495308835	1.565391444	1.603437006	2.205835236	2.205521158	1.344494665	1.572904659	0.706485821	1.143553337	1.245912641	0.269272066	0.954201143	2.187304334	1.142635856
MTHFSD	0.063452143	0.031680972	0.054329964	0.058201667	0.025668362	0.065010054	0.019298092	0.069977939	0.128732714	0.1001132	0.103484174	0.096074674	0.215212741	0.052166424	0.154498813	0.073492323	0.036113541	0.341628833	0.139355613	0.024966089	0.087693406	0.092152301	0.025748135
MTIF2	0.285279816	0.103736987	0.171083211	0.082367095	0.611699306	0.706849482	0.295917361	0.146798319	0.031633626	0.1720426	0.166294071	0.350755438	0.267144448	0.208506379	0.305206325	0.288490565	0.234556601	0.115390807	0.211485562	0.095772345	0.226863893	0.268228367	0.314059943
MTIF3	1.621415552	1.159381762	1.423381039	2.430268402	1.886157551	1.799949138	1.786685137	2.02004719	1.852860728	1.523332174	1.964042755	1.772909073	2.070920503	1.644395408	1.799808414	1.651937257	1.785519423	1.322468641	1.431478368	1.003318518	1.605438805	1.662074306	1.843245435
MTL5	0.006607678	0.023264814	0.041197658	0	0.051297148	0	0.082950683	0	0	0.063916018	0.037550511	0.053833344	0.045599275	0.035774485	0.102448768	0.108358905	0.059915134	0.144859659	0.051582523	0.01297566	0.067074873	0.047571589	0.149410707
MTM1	0.106347505	0.070689728	0.084060486	0.153632459	0.073215296	0.094620753	0.255388966	0.144086903	0.415487609	0.219295928	0.309740306	0.213614834	0.141741552	0.076660098	0.191165233	0.099697026	0.344637522	0.399710472	0.213082239	0.025164403	0.156888068	0.211765285	0.099461477
MTMR1	0.161349228	0.132344749	0.05844726	0.020339649	0.006444963	0	0.045460208	0.092516243	0.135729727	0.091135077	0.062860263	0.043929607	0.266527106	0.082003716	0.1123995	0.080332806	0.07879035	0.284716019	0.211551827	0.021489967	0.122202731	0.111968723	0.043628818
MTMR10	0.27644083	0.291517302	0.145664413	0.219600453	0.152142536	0.234918188	0.115162298	0.106273632	0	0.052192417	0.080739175	0.077298789	0.021559998	0.083471814	0.07059836	0.052750526	0.11955207	0	0.028594468	0.022979798	0.106682516	0.167941399	0.025253203
MTMR11	0.003080477	0.033415307	0.08883145	0.679888751	0	0	0.003653976	0.094334364	0	0.005903319	0.003239386	0.012601326	0.017301206	0.101461089	0.078751285	0.032109271	0.021263384	0.038265665	0	0.003510371	0.020823343	0.026248458	0
MTMR12	0.111648438	0.016586678	0.1440028	0.35577843	0.03679479	0	0.030443767	0.239029315	0.02499697	0.098693243	0.083693359	0.068448281	0.069043694	0.073216716	0.037686955	0.109305162	0.071911773	0.245661371	0.030819389	0.041974793	0.087223481	0.345399679	0.199146829
MTMR14	1.251800688	1.212713782	1.349550347	0.883152607	0.48440704	1.349395359	1.444255986	1.23545988	1.698175962	0.91793958	0.924286572	0.807916701	1.077088193	1.15295922	0.839492395	1.160720994	0.73357809	0.746511062	0.650703841	0.223737499	1.603489704	5.274321292	2.122164118
MTMR2	0.054522285	0.055957356	0.083531681	0.023670998	0.364824082	0.364962892	0.058310642	0.208801712	0.201510319	0.156465256	0.21760063	0.198859138	0.21665005	0.416387501	0.156989365	0.273704304	0.218275101	0.22303467	0.415153052	0.044881665	0.220092315	0.348956996	0.122722292
MTMR3	0.109475524	0.131036595	0.072533672	0.265954461	0.095123517	0	0.082424452	0.043369859	0.07914426	0.130481025	0.158551679	0.068321975	0.157048918	0.227157974	0.098503055	0.090645574	0.1823787	0.320078852	0.153703851	0.036479633	0.101089178	0.020790853	0.031444954
MTMR4	0.092986092	0.085175133	0.097955136	0.191692988	0.066674481	0	0.090621123	0.385742115	0	0.114063394	0.154339657	0.310987768	0.241217181	0.38089408	0.271512277	0.229972293	0.116371905	0.26427892	0.178839382	0.08426248	0.467340359	0.699958825	0.189133806
MTMR6	0.238497723	0.19161986	0.172698617	0.197424686	0.424391196	0.076082132	0.104274163	0.069541294	0.329236564	0.32492645	0.209423962	0.346950372	0.630251641	0.227159184	0.181367096	0.275671178	0.265452737	0.328563418	0.402102504	0.096728412	0.411141223	0.282638211	0.137642268
MTMR8	0.002002409	0	0.007843616	0	0.063699764	0	0	0	0	0.037006822	0.02185483	0.010112766	0	0	0.033242149	0.036313816	0.033467093	0	0	0.00522414	0.012512878	0.026355842	0.014916783
MTMR9	0.11849541	0.013498279	0.18915077	0.077309723	0.23056791	1.210754023	0.122983091	0.20455458	0.793877869	0.401995472	0.403071364	0.493706503	0.366108326	0.377877088	0.480329011	0.60724043	0.450397371	1.627464972	0.132713019	0.080852394	0.654735657	0.604709809	0.227587363
MTO1	0.144072763	0.11105437	0.159021979	0.290383972	0.40296751	1.825186338	0.180516053	0.439621724	0.296616031	0.515332024	0.379545639	0.370960056	0.686050542	0.32593215	0.343672827	0.468472606	0.642462895	0.373841158	0.547097571	0.106921275	0.374564698	0.415019426	0.317840623
MTOR	0.091292382	0.032731012	0.084768554	0	0.074406005	0.068057739	0.0701006	0.165733092	0.104883845	0.070085288	0.078253541	0.072954838	0.134431083	0.06301067	0.12021798	0.198764345	0.191448598	0.103036968	0.050526464	0.027504025	0.105665762	0.043371662	0.024241226
MTPAP	0.094509045	0.024692118	0.145281121	0.018769916	0.136542161	0	0.049071029	0.148096564	0.218110356	0.103147285	0.11645904	0.148706703	0.141250564	0.665350765	0.111328039	0.076745679	0.198443567	0.187435402	0.082222933	0.029160451	0.125611438	0.054093307	0.090572056
MTPN	1.160995324	0.843966787	1.433007123	2.061522925	1.36166445	0.487057492	0.936123036	1.157854191	0.960884347	0.684733925	0.880748689	0.664524075	0.64615778	0.699443488	0.811325645	0.72948681	1.030593925	0.527807907	0.622894204	0.135074943	2.125068978	2.167429628	1.029698677
MTR	0.115760511	0	0.096172392	0.342944477	0.189547169	0.058854752	0.060206043	0.082643255	0.919383842	0.146605318	0.167760651	0.177333568	0.136744326	0.132817234	0.225512983	0.19112922	0.264258087	0.384109733	0.078703404	0.040490233	0.101679579	0.236414979	0.039991251
MTRF1	0.054823677	0.018655191	0.087875563	0.096676172	0.156379939	0	0.019720432	0.154759893	0.214535032	0.163763951	0.1736891	0.085603431	0.1375245	0.130964918	0.098056381	0.10971637	0.441334204	0.082296547	0.132328026	0.045185276	0.215661416	0.205548766	0.126934122
MTRF1L	0.158396942	0.117257926	0.192581664	0.489915634	0.627369834	0.046723821	0.268754387	0.607823784	0.182660031	0.384251358	0.31481157	0.335279633	0.40713156	0.202962632	0.572130316	0.247521578	0.315222263	0.79918484	0.619168688	0.105220816	0.407144117	0.57394637	0.30418772
MTRNR2L1	9.246020662	2.71382367	5.703608677	10.14756016	2.929317659	16.66571506	2.982707983	3.541452534	5.104656388	4.509616613	1.414665386	2.864852668	3.20220853	4.284202554	4.98530368	2.38584171	1.552785211	32.3892977	3.856043499	1.865623392	5.284599118	3.605436592	5.208407417
MTRNR2L10	0.026038227	0	0.05224914	0	0.026597956	0	0	0	0	0.005727688	0	0	0	0	0	0.00376249	0	0.010491097	0	0.001907171	0	0.015069769	0
MTRNR2L11	0.001388917	0.041963473	0.038016063	0	0	0	0.017778882	0	0	0.014474253	0.003678016	0.003009737	0.012535642	0	0.005827315	0	0	0.057761399	0	0.00685917	0.006308812	0	0.053376075
MTRNR2L12	0.033782769	0.080374195	0.009862799	0	0.026720204	0.087403914	0.028308101	0.010506069	0	0.035607894	0.014042753	0	0	0	0.021809129	0.02188045	0.050588896	0.009242266	0	0.013887896	0.032314131	0	0.007783508
MTRNR2L2	0.005505834	0	0.018524216	0	0	0	0.005529248	0.016112804	0	0.052172671	0	0	0.006656592	0	0.012899169	0.005487615	0	0.209431045	0	0.008353753	0.012675567	0	0
MTRNR2L3	0.088787017	0.019296666	0.017110676	0.020205729	0	0.149091453	0.064428457	0.076191425	0	0.026746812	0.029993128	0.0087185	0.017707325	0.051851039	0.00465107	0.0304553	0.145420546	0.023925209	0	0.018305084	0.020939466	0	0
MTRNR2L4	0.000992166	0	0.017424568	0	0	0	0	0	0	0.002352704	0.008329932	0.005715047	0	0	0.019000588	0.002793366	0.051980436	0	0	0.003496764	0.005874183	0	0.002834944
MTRNR2L6	0	0	0	0	0	0	0	0	0	0.005168473	0.001818451	0	0	0.017546269	0.00267787	0	0	0	0	0.001916312	0.002373407	0	0
MTRNR2L7	0.011255187	0	0.003194419	0	0	0	0	0	0	0.003577924	0.008348423	0.002320382	0	0.04209254	0.013472425	0.001644911	0	0	0.0123476	0.001589833	0	0	0.004548118
MTRNR2L8	0.014001787	0.011694653	0.002484307	0.011005189	0.052577711	0	0.01615527	0.104292965	0	0.015737198	0	0.002620001	0	0	0	0.00378522	0	0	0	0.006079194	0.012761053	0.02950527	0.005982745
MTRNR2L9	0.000459418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012811233	0	0.009242266	0	0.001585631	0.014322958	0.00399676	0
MTRR	0.141821052	0.103890199	0.149965616	0.080648085	0.175742366	0.043159239	0.302398676	0.109322099	0.092387876	0.290008615	0.181051203	0.356108549	0.264394393	0.334569458	0.185901503	0.242613091	0.067853709	0.060142361	0.090458703	0.113448868	0.182458611	0.274068818	0.135578094
MTSS1	0.302565205	0	0.131922245	0.454142124	0.301205445	0.183211764	0.130420009	0.366159247	0.083930203	0.086181749	0.0977007	0.20343949	0.028023555	0.201984296	0.053534893	0.132853457	0.092142104	0	0.053750785	0.010274731	0.92223897	0.03621748	0.050712
MTSS1L	0.001753938	0.116899592	0	0	0	0	0	0	0	0.007674645	0	0.011977326	0	0	0	0.011221226	0	0	0	0.001956539	0.0009419	0	0.023387966
MTUS1	0.108971782	0	0.037708705	0.005553903	0	0	0.032885914	0.072430976	0.193458326	0.042138077	0.036143032	0.154858189	0	0.404206442	0.053439405	0.016739781	0.014121556	0.085829452	0.046808339	0.039002999	0.016131502	0.009477817	0.013744887
MTX1	1.146596291	0.492391071	0.857560958	1.907246841	0.998831267	1.889137549	1.304695026	1.22669225	1.727795221	0.910904662	0.722414842	0.720866667	0.825425249	0.75813471	1.257345208	1.108009198	0.83203946	1.074355973	1.422266991	0.453785694	0.643950815	1.604208163	1.223600085
MTX2	0.682537986	0.743482145	0.449153719	0.893451972	1.43256449	1.207094815	0.62573612	0.597053661	1.042804491	0.657465789	0.777672852	1.088226139	0.982024146	1.27873703	0.705496241	1.075119906	0.979648494	0.499627322	0.957157014	0.300446163	0.551277029	0.708850809	0.559641234
MTX3	0.005548029	0.02367435	0.010949945	0	0.00558646	0	0.005713656	0.0560223	0.208022771	0.04400091	0.020965329	0.035337581	0.019372733	0.164443645	0.036945683	0.033628198	0.027546606	0.049715523	0.010530542	0.010321704	0.03372025	0.117763714	0
MUC1	0.022339116	0.011833793	0.009401472	0.009820061	0.050643669	0.106733621	0.044460049	0.016112804	0	0.023334195	0.006964637	0.06976601	0.050256357	0.021707064	0.063198561	0.020412436	0.139779798	0.403249961	0	0.017908382	0.05036155	0.124079534	0.189636199
MUC12	0.491255862	0.235804574	0.187272009	0.321739628	0.176968618	0.152735889	0.182979521	0.154458075	0.194767078	0.13115513	0.154585626	0.157928739	0.24927426	0.041444034	0.513997223	0.197116466	0.396397685	0.525093228	0.16408648	0.058066453	0.101427387	0.298268788	0.077468845
MUC13	0.030931836	0	0.051881966	0.022111905	0.057269034	0.043870255	0.007140172	0.049386367	0	0.028452041	0.027629567	0.096267649	0.01839152	0.06688284	0.219023921	0.071648394	0.106395294	0.15065482	0.060034951	0.017689159	0.082723566	0.190386476	0.268285467
MUC17	0	0	0	0.014687702	0	0	0	0	0	0.002940516	0	0	0	0	0.003992029	0	0.037666539	0	0	0.000632854	0.003746456	0	0
MUC2	0.185670814	0.078941043	0.025567653	0.174113125	0.121576676	0.18426942	0.01175766	0.343070039	0.352010759	0.035480921	0.023756875	0.123460032	0.101283058	0.036374397	0.461016353	0.073572018	0.316227916	0.38312133	0.023095662	0.039386416	0.111098109	0.071028247	0.087323355
MUC20	0.077125053	0	0.034065802	0.005553903	0	0	0	0.038842478	0	0.022994713	0.026991007	0.031955723	0.030206184	0.038331704	0.052803021	0.012334458	0	0.050638282	0.011766203	0.018654362	0.013050039	0	0.024446746
MUC3A	0.006145381	0	0	0	0.021983819	0.047208138	0	0	0	0	0	0.009007435	0	0	0.007548352	0.007146039	0	0	0.038588988	0.002007259	0.005500624	0	0
MUC4	0.045875372	0	0.010596715	0.011298974	0.044422998	0.490413324	0.012575125	0.115822961	0	0.017587841	0.029699623	0.018631508	0.04565349	0.010614975	0.132916802	0.033068335	0.160987248	0.410288043	0.11646683	0.020687591	0.055205239	0.09290844	0.01212225
MUC5B	0.012921041	0	0.013152847	0	0.073532322	0	0.005417856	0	0	0.012462151	0.012261686	0.040142665	0.012184946	0.110049594	0.061379833	0.040293859	0.08318493	0.198913282	0.028205402	0.013124081	0.027824515	0.063842167	0.018087955
MUCL1	0	0	0	0.039228677	0.011789353	0	0	0.030212777	0	0	0	0	0	0	0.063662444	0	0	0.036658558	0	0	0	0	0
MUL1	0.274783511	0.139042603	0.136033419	0.325226546	0.546399338	0.29732393	0.06891384	0.318559254	0.053460212	0.330526566	0.296276934	0.364266945	0.398457188	0.342993613	0.544582077	0.307221674	0.524149139	0.391827972	0.223906554	0.112114275	0.394495024	0.396311068	0.206904043
MUM1	0.372985107	0.305836093	0.366990204	0.068689747	0.864089089	2.335669739	0.339957598	1.638971454	1.091664052	0.451859205	0.370963126	0.476475047	0.375260905	0.580814087	0.732656887	0.575062993	1.064084403	2.156504117	0.611023011	0.117836213	0.940345516	0.655611859	0.20823045
MUS81	0.208246894	0.358309698	0.307292208	0.427551081	0.385071006	0.092312702	0.16492702	0.471774315	0.40003815	0.648352083	0.360947866	0.580590791	0.515658409	0.929044442	0.678909886	0.591721852	0.920117536	0.72184337	0.679801213	0.088323643	0.478736031	1.131428592	0.435395663
MUSK	0	0	0.003443147	0	0	0	0	0	0	0.006115229	0	0	0	0	0.003938882	0	0.026980983	0	0	0.001644668	0	0	0
MUT	0.240867633	0	0.129483013	0.049245905	0.342545938	0.333867048	0.098199944	0.152108511	0.353313015	0.270940141	0.174650801	0.306264765	0.182076446	0.182917928	0.099886948	0.151657907	0.173154752	0.3329246	0.339079634	0.096066956	0.208224269	0.150424795	0.432637713
MUTYH	0.192269056	0.090545541	0.235430301	0.118728553	0.222115911	0.104916543	0.250718184	0.336735692	0.690786593	0.268599882	0.302238511	0.316495658	0.314018447	0.127265504	0.281418697	0.393345123	0.265405599	0.568740458	0.393468102	0.075697278	0.212205016	0.412033045	0.296087277
MVB12A	1.125337205	0.225221821	0.554006897	1.057656406	0.785897111	1.115783198	0.811972156	1.198588722	0.849079133	0.425898466	0.474272025	0.687215735	0.677565964	0.924706779	0.798756221	0.692049021	0.48406579	0.733049894	1.05874697	0.261403472	0.409429265	0.942131176	0.52941996
